18:04:30.500 [main] INFO  ADV.EMCO.login - Record Number 297 Processed:19651868
18:04:38.407 [main] INFO  ADV.EMCO.login - Record Number 298 Processed:19651869
18:04:46.800 [main] INFO  ADV.EMCO.login - Record Number 299 Processed:19651870
18:04:54.103 [main] INFO  ADV.EMCO.login - Record Number 300 Processed:19651873
18:07:32.559 [main] INFO  ADV.EMCO.login - Record Number 301 Processed:19651875
18:09:13.550 [main] INFO  ADV.EMCO.login - Record Number 302 Processed:19651881
18:09:21.756 [main] INFO  ADV.EMCO.login - Record Number 303 Processed:19651882
18:09:29.082 [main] INFO  ADV.EMCO.login - Record Number 304 Processed:19651883
18:09:36.588 [main] INFO  ADV.EMCO.login - Record Number 305 Processed:19651884
18:09:44.370 [main] INFO  ADV.EMCO.login - Record Number 306 Processed:19651885
18:09:53.142 [main] INFO  ADV.EMCO.login - Record Number 307 Processed:19651886
18:10:02.099 [main] INFO  ADV.EMCO.login - Record Number 308 Processed:19651887
18:10:14.952 [main] INFO  ADV.EMCO.login - Record Number 309 Processed:19651888
18:10:25.044 [main] INFO  ADV.EMCO.login - Record Number 310 Processed:19651890
18:10:33.510 [main] INFO  ADV.EMCO.login - Record Number 311 Processed:19651891
18:10:41.270 [main] INFO  ADV.EMCO.login - Record Number 312 Processed:19651892
18:10:49.152 [main] INFO  ADV.EMCO.login - Record Number 313 Processed:19651894
18:10:56.879 [main] INFO  ADV.EMCO.login - Record Number 314 Processed:19651896
18:11:05.524 [main] INFO  ADV.EMCO.login - Record Number 315 Processed:19651897
18:11:14.593 [main] INFO  ADV.EMCO.login - Record Number 316 Processed:19651899
18:11:23.752 [main] INFO  ADV.EMCO.login - Record Number 317 Processed:19651900
18:11:32.783 [main] INFO  ADV.EMCO.login - Record Number 318 Processed:19651901
18:11:41.853 [main] INFO  ADV.EMCO.login - Record Number 319 Processed:19651902
18:11:49.338 [main] INFO  ADV.EMCO.login - Record Number 320 Processed:19651905
18:11:57.432 [main] INFO  ADV.EMCO.login - Record Number 321 Processed:19651906
18:12:05.501 [main] INFO  ADV.EMCO.login - Record Number 322 Processed:19651907
18:12:13.914 [main] INFO  ADV.EMCO.login - Record Number 323 Processed:19651909
18:12:24.946 [main] INFO  ADV.EMCO.login - Record Number 324 Processed:19651910
18:12:33.214 [main] INFO  ADV.EMCO.login - Record Number 325 Processed:19652856
18:12:41.448 [main] INFO  ADV.EMCO.login - Record Number 326 Processed:19652857
18:12:49.075 [main] INFO  ADV.EMCO.login - Record Number 327 Processed:19652859
18:12:55.946 [main] INFO  ADV.EMCO.login - Record Number 328 Processed:19652860
18:13:03.198 [main] INFO  ADV.EMCO.login - Record Number 329 Processed:19652861
18:13:10.380 [main] INFO  ADV.EMCO.login - Record Number 330 Processed:19652862
18:13:18.599 [main] INFO  ADV.EMCO.login - Record Number 331 Processed:19652864
18:13:26.747 [main] INFO  ADV.EMCO.login - Record Number 332 Processed:19652865
18:13:34.592 [main] INFO  ADV.EMCO.login - Record Number 333 Processed:19652866
18:13:48.429 [main] INFO  ADV.EMCO.login - Record Number 334 Processed:19652867
18:13:58.814 [main] INFO  ADV.EMCO.login - Record Number 335 Processed:19652868
18:14:07.917 [main] INFO  ADV.EMCO.login - Record Number 336 Processed:19652870
18:14:18.777 [main] INFO  ADV.EMCO.login - Record Number 337 Processed:19652871
18:14:29.461 [main] INFO  ADV.EMCO.login - Record Number 338 Processed:19652872
18:14:39.345 [main] INFO  ADV.EMCO.login - Record Number 339 Processed:19652873
